feature,value,0,1,2
attn_2_0_outputs,1,-0.88182914,1.4283935,-0.49314922
attn_2_0_outputs,2,-1.898084,-0.16899687,1.9240754
attn_2_0_outputs,</s>,-2.6945584,-0.17125995,2.3677917
attn_2_0_outputs,<pad>,-0.056852054,0.7090954,0.36185908
attn_2_0_outputs,<s>,-0.46285653,0.19683728,0.83336693
attn_2_0_outputs,_,-0.37614134,-0.7776814,1.2956644
attn_2_0_outputs,_,-0.2842165,-0.19250032,-0.3502379
attn_2_0_outputs,_,0.34748507,0.1946784,-0.70388424
attn_2_0_outputs,_,-0.23185317,0.23447603,-0.31961063
attn_2_0_outputs,_,-0.80271584,0.29326105,-0.28151837
attn_2_0_outputs,_,-0.23094173,-0.19893833,-0.22966756
attn_2_0_outputs,_,-0.44505295,0.8581138,-0.14145067
attn_2_0_outputs,_,-0.37796187,-0.13475212,-0.12180904
attn_2_0_outputs,_,-0.26396868,0.16458866,-0.7423468
attn_2_0_outputs,_,-0.2493029,-0.47188303,0.39273542
attn_2_1_outputs,0,-1.1814127,-0.04171683,0.021985387
attn_2_1_outputs,1,-0.46974492,1.2003736,0.17182486
attn_2_1_outputs,2,-1.6913551,0.02512762,1.5803661
attn_2_1_outputs,</s>,-2.3605437,-0.4275125,1.4931002
attn_2_1_outputs,<pad>,-0.9044505,0.1042677,0.4968474
attn_2_1_outputs,<s>,-2.4602203,-0.03830877,3.5162728
attn_2_1_outputs,_,-0.5279014,-1.2490399,0.47937745
attn_2_1_outputs,_,0.12312754,0.023575919,0.17245278
attn_2_1_outputs,_,0.3261901,-0.033140503,1.041541
attn_2_1_outputs,_,0.24342234,0.49732152,1.2025526
attn_2_1_outputs,_,0.36664814,0.020716902,-0.5041528
attn_2_1_outputs,_,0.42492524,0.329345,-0.31364328
attn_2_1_outputs,_,0.0076058973,0.5214424,-0.20358144
attn_2_1_outputs,_,0.3334976,0.623708,0.28553224
attn_2_1_outputs,_,0.7918506,0.40963218,-0.69706583
attn_2_1_outputs,_,-1.283957,0.5761838,0.63740176
attn_2_2_outputs,0,-1.5054,0.31659123,0.6565396
attn_2_2_outputs,1,-1.1649089,0.64007384,0.09356512
attn_2_2_outputs,2,-1.6789814,-0.16922718,1.1215806
attn_2_2_outputs,</s>,-0.82398784,0.08497947,0.66899794
attn_2_2_outputs,<pad>,0.83444834,0.5280115,-1.1063071
attn_2_2_outputs,<s>,0.12771061,-0.3437375,-1.088949
attn_2_2_outputs,_,-0.4273773,0.41978163,0.06253253
attn_2_2_outputs,_,0.07469478,-0.3566555,-0.6459268
attn_2_2_outputs,_,0.409201,0.058768712,0.2189815
attn_2_2_outputs,_,0.24059612,0.39829892,-0.21351255
attn_2_2_outputs,_,0.4368192,-0.98094815,-0.5292612
attn_2_2_outputs,_,-0.67266715,-0.14907274,-0.27310887
attn_2_2_outputs,_,1.0788493,0.3348799,0.16381167
attn_2_2_outputs,_,-0.63995826,0.9711442,-0.84168833
attn_2_2_outputs,_,0.19039716,0.063414805,-0.04022744
attn_2_2_outputs,_,-0.6947408,-0.049478613,0.87572676
attn_2_3_outputs,0,-1.3323864,0.18988194,0.47406253
attn_2_3_outputs,1,-0.8135807,0.66220284,0.6912643
attn_2_3_outputs,2,-1.2150979,0.11942951,1.417365
attn_2_3_outputs,</s>,-0.78311336,0.31667686,0.8946519
attn_2_3_outputs,<pad>,0.18487601,0.6404974,0.065545425
attn_2_3_outputs,<s>,-1.1701595,0.28959814,0.8201471
attn_2_3_outputs,_,0.0031310425,0.013960196,0.081752695
attn_2_3_outputs,_,0.4429305,0.115422264,0.15290093
attn_2_3_outputs,_,0.7658108,-0.25505614,0.5020662
attn_2_3_outputs,_,0.13493535,0.78240895,0.077390864
attn_2_3_outputs,_,0.004890125,1.2333175,0.3690833
attn_2_3_outputs,_,0.35653234,0.61149573,-0.4257694
attn_2_3_outputs,_,0.23222604,0.24413598,-0.4874671
attn_2_3_outputs,_,0.54699117,0.8448891,-0.7057816
attn_2_3_outputs,_,-0.570555,0.5991816,-1.0026964
attn_2_3_outputs,_,0.2325882,-0.7283884,0.95567805
mlp_0_0_outputs,0,-0.0053993175,0.4506789,0.20208673
mlp_0_0_outputs,1,-0.6246181,0.1498225,0.4101205
mlp_0_0_outputs,10,-0.9531582,0.1254115,-1.2445921
mlp_0_0_outputs,11,0.20961927,0.1899637,-0.10599257
mlp_0_0_outputs,12,-0.7799571,0.30597726,0.49819544
mlp_0_0_outputs,13,-0.37546682,0.5709532,-0.6912428
mlp_0_0_outputs,14,-4.5077314,-0.85549283,3.305013
mlp_0_0_outputs,15,0.28139785,0.74418956,-0.042414784
mlp_0_0_outputs,2,-1.0074048,0.9430014,1.2016106
mlp_0_0_outputs,3,-5.992133,3.5043752,3.5586002
mlp_0_0_outputs,4,-0.2724144,0.7970311,0.2584823
mlp_0_0_outputs,5,1.5751313,1.0186485,-1.6455389
mlp_0_0_outputs,6,4.966483,-0.839411,-5.988661
mlp_0_0_outputs,7,-0.053338986,0.6667922,-0.10442338
mlp_0_0_outputs,8,0.23819226,-0.2108053,-0.43323192
mlp_0_0_outputs,9,-0.18269561,-0.3519039,-0.48383176
mlp_0_1_outputs,0,0.36191437,0.6402295,-0.124644056
mlp_0_1_outputs,1,0.6251753,0.4200015,-0.45588565
mlp_0_1_outputs,10,0.97803646,0.9915857,-0.5816256
mlp_0_1_outputs,11,0.18450199,-0.02881711,-0.12661478
mlp_0_1_outputs,12,0.69069475,0.53115785,-0.3680099
mlp_0_1_outputs,13,0.14738949,0.12736446,-1.0078051
mlp_0_1_outputs,14,0.35444218,0.13586324,-1.048541
mlp_0_1_outputs,15,-5.261844,0.47982988,3.6548932
mlp_0_1_outputs,2,0.27908656,0.31257582,-0.9949258
mlp_0_1_outputs,3,0.7678042,0.30074814,-0.6040515
mlp_0_1_outputs,4,-0.492553,-0.38761353,-0.71764773
mlp_0_1_outputs,5,0.83390224,0.9734756,-0.07137955
mlp_0_1_outputs,6,0.31924802,0.31630927,-0.70967996
mlp_0_1_outputs,7,-1.2543966,-0.22053678,0.6019662
mlp_0_1_outputs,8,2.7816918,-0.00472234,-4.328729
mlp_0_1_outputs,9,0.00033787545,0.12176868,0.12635054
mlp_1_0_outputs,0,-0.13363692,0.8338559,0.8778917
mlp_1_0_outputs,1,-0.46908867,0.48539394,0.6865554
mlp_1_0_outputs,10,-0.033143073,0.24071082,0.68879426
mlp_1_0_outputs,11,0.0018621503,0.5200812,0.87844104
mlp_1_0_outputs,12,-0.671618,-0.0895759,0.2056581
mlp_1_0_outputs,13,5.2766604,-1.6459013,-3.8214865
mlp_1_0_outputs,14,-0.2055962,0.042438503,-0.17575611
mlp_1_0_outputs,15,-0.58628803,0.57952774,0.5729877
mlp_1_0_outputs,2,-0.53821564,0.53028595,0.9368473
mlp_1_0_outputs,3,-0.53701544,0.7746768,0.318874
mlp_1_0_outputs,4,-0.41259986,0.21045782,0.3456452
mlp_1_0_outputs,5,-1.8869152,0.07224754,1.020579
mlp_1_0_outputs,6,-1.9822669,-0.2565077,1.5504599
mlp_1_0_outputs,7,-0.2042785,-0.10457004,0.07144748
mlp_1_0_outputs,8,-0.70161736,0.5307942,0.2767406
mlp_1_0_outputs,9,-2.4340038,1.0655736,0.42475668
mlp_1_1_outputs,0,-1.1060095,0.10461718,0.60077053
mlp_1_1_outputs,1,-0.84326905,0.23218703,0.7806582
mlp_1_1_outputs,10,-1.0347135,0.2898952,0.840021
mlp_1_1_outputs,11,-0.6641597,0.33412275,0.55740684
mlp_1_1_outputs,12,-1.0118507,0.40747905,0.7674241
mlp_1_1_outputs,13,-0.2764966,0.65931267,1.0084096
mlp_1_1_outputs,14,-0.3578527,0.4650826,0.92666095
mlp_1_1_outputs,15,-0.88278013,0.3451791,0.822043
mlp_1_1_outputs,2,-0.82181495,0.4405766,0.9449339
mlp_1_1_outputs,3,-0.9458678,0.4516822,0.50815785
mlp_1_1_outputs,4,-0.9537262,0.064667724,0.5602464
mlp_1_1_outputs,5,-1.0121875,0.13332075,0.63748497
mlp_1_1_outputs,6,-1.3429571,0.1559081,0.48405161
mlp_1_1_outputs,7,-0.7891307,0.4605981,0.77106375
mlp_1_1_outputs,8,-1.253737,0.050033845,0.5025201
mlp_1_1_outputs,9,-1.6735374,-0.2580214,0.078135185
mlp_2_0_outputs,0,-0.6442775,0.74650854,0.9364007
mlp_2_0_outputs,1,-0.80286884,0.16009788,0.5936431
mlp_2_0_outputs,10,-0.96527654,-0.08861943,0.44074973
mlp_2_0_outputs,11,-1.327177,-0.25890043,0.283336
mlp_2_0_outputs,12,-0.4893115,0.49453878,1.0207365
mlp_2_0_outputs,13,-1.084201,-0.09897834,0.3653121
mlp_2_0_outputs,14,-1.3902264,-0.3750018,-0.083334684
mlp_2_0_outputs,15,-0.22387454,0.855213,1.334861
mlp_2_0_outputs,2,-0.66529536,0.315646,0.7207857
mlp_2_0_outputs,3,-0.74247587,0.20931466,0.90499973
mlp_2_0_outputs,4,-0.9332116,0.2970437,0.72058594
mlp_2_0_outputs,5,-0.84931314,0.26548144,0.41341054
mlp_2_0_outputs,6,-1.4211391,-0.26686203,0.22733462
mlp_2_0_outputs,7,-0.45637655,0.60523474,0.88808554
mlp_2_0_outputs,8,-0.40384912,0.63675034,0.9717434
mlp_2_0_outputs,9,-1.1940583,-0.18480732,0.22043857
mlp_2_1_outputs,0,-0.097637534,0.52756065,1.1553879
mlp_2_1_outputs,1,-1.432559,0.057839487,0.87293446
mlp_2_1_outputs,10,-0.6134587,-0.109985515,0.3594431
mlp_2_1_outputs,11,-0.2096676,0.14948645,0.6794767
mlp_2_1_outputs,12,-0.5708,0.077123106,0.6376631
mlp_2_1_outputs,13,-1.4182588,-0.032746024,0.5103808
mlp_2_1_outputs,14,-0.737802,0.21745397,0.96881497
mlp_2_1_outputs,15,-1.0702485,-0.46495533,0.3131216
mlp_2_1_outputs,2,-0.66931355,-0.17372814,0.6391134
mlp_2_1_outputs,3,-1.7895701,0.23113796,2.0648415
mlp_2_1_outputs,4,-1.480175,0.0090649985,1.0231185
mlp_2_1_outputs,5,-0.8734162,0.06245975,0.4644143
mlp_2_1_outputs,6,-1.2386434,-0.02111147,0.67594016
mlp_2_1_outputs,7,0.102468885,0.5171464,0.9071127
